Collector (PI),Specimen_ID,Genus,Species,order,sex,mass (g),date,Country,Departament,Municipio,Locality,Longitude,Latitude,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,1.0,Chloroceryle,inda,Coraciiformes,U,52.0,20141116,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,I8",2.0,0.0,0.0,0.0,0.0
GAL,2.0,Turdus,ignobilis,Passeriformes,U,45.8,20141028,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,G2",30.0,0.0,0.0,0.0,0.0
GAL,2.0,Ramphocelus,carbo,Passeriformes,U,23.0,20150327,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,G6",4.0,0.0,0.0,0.0,0.0
GAL,2.0,Chloroceryle,aenea,Coraciiformes,U,12.75,20150327,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"E1,J8",0.0,0.0,0.0,0.0,0.0
GAL,2.0,Coccycua,minuta,Cuculiformes,U,34.0,20150327,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"E1,J10",0.0,0.0,0.0,0.0,0.0
GAL,2.0,Chloroceryle,aenea,Coraciiformes,U,12.75,20150327,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"E1,J8;P2,H4",3.0,0.0,0.0,0.0,0.0
GAL,2.0,Turdus,ignobilis,Passeriformes,U,45.8,20141028,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,G2;P2,J4",30.0,0.0,0.0,0.0,0.0
GAL,3.0,Dendroplex,picus,Passeriformes,U,35.0,2014085,Colombia,Meta,Villavicencio,Villavicencio,,,400-440,YES,powder,Universidad Icesi,"E1,H4",0.0,0.0,6.0,0.0,0.0
GAL,3.0,Ramphocelus,carbo,Passeriformes,U,21.95,20141029,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,H6",8.0,0.0,0.0,0.0,0.0
GAL,4.0,Ramphocelus,carbo,Passeriformes,U,22.0,2013038,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,B5",8.0,0.0,0.0,0.0,0.0
GAL,6.0,Turdus,nudigenis,Passeriformes,U,59.0,20130310,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,E6",9.0,0.0,0.0,0.0,0.0
